Countries fintechs,Country,Year,1A,1B,1C,2A,2B,2C,2D,2E,3A,3B,3C,3D,4A,4B,5A,5B,5C,6A,,,,,,,,,,,
4,Argentina,2018,2.44756031,2.805119514,4.061309035,3.430802107,4.195682945,3.930330992,4.613002296,57.31051129,2.805119514,4.085398197,3.137428301,4.657785416,78.05015028,139.814600248501,3.377249956,5.170745958,31.00004758,7.217000008,,,,,,,,,,,
1,Bangladesh,2018,2.578552485,3.683762074,4.117618742,3.058403254,3.355733576,3.716894388,4.730967154,29.82485092,3.683762074,3.639964819,3.037018761,3.496264458,30.03911386,88.1240592876101,3.109819651,4.949508521,35.17670492,4.047999859,,,,,,,,,,,
32,Brazil,2018,2.459301233,3.302392721,4.566282764,3.238513947,4.296651368,4.089988708,4.598993571,49.32092896,3.302392721,4.691751003,2.703920625,5.729115009,90.23684642,112.996556835352,3.782591581,5.196035692,22.59811954,7.19299984,,,,,,,,,,,
30,Canada,2018,3.689212322,4.582465649,5.105234892,4.659580708,4.638757931,4.652789593,4.685475264,33.42808185,4.582465649,6.227545261,2.984595464,6.519052029,72.45431361,85.89566696052521,4.489319324,6.075441544,12.39533386,7.291999817,,,,,,,,,,,
1,Chile,2018,3.504281521,4.101409435,3.883188925,3.885442019,3.263581607,3.997062206,4.922817731,59.53757393,4.101409435,5.646328449,3.370470834,6.333855152,88.24767543,127.463285790103,3.518594265,5.021656208,41.48460795,6.65899992,,,,,,,,,,,
7,Colombia,2018,2.886228561,3.680098295,3.975810731,3.878222704,4.121078278,3.735612392,5.138438224,62.33083988,3.680098295,4.784922123,3.613747901,5.579167843,48.79995492,126.813881778512,3.503555298,5.061698494,42.19772131,9.739999771,,,,,,,,,,,
5,Egypt,2018,2.842277288,3.631839991,4.334938599,2.606044531,3.727099212,4.188914299,5.250478641,54.35408186,3.631839991,4.664951324,3.268886074,5.589783192,50.11152433,105.540613444665,3.936544657,5.205586628,37.45982403,12.59700012,,,,,,,,,,,
20,India,2018,3.822782755,4.570551872,4.253163345,4.276731491,4.580908011,4.850800037,4.301165568,52.89920033,4.570551872,4.739900112,2.847299086,4.873686314,95.65194172,173.840223017283,4.147223949,5.563958988,33.55379305,2.690000057,,,,,,,,,,,
8,Indonesia,2018,4.315957069,4.751399994,4.979632312,4.501109123,4.715180045,4.650732517,4.542825556,14.38973236,4.751399994,4.737793446,3.345310229,4.628609657,25.76304606,87.28491809526381,4.636918068,5.831125106,22.28985812,4.467999935,,,,,,,,,,,
0,"Korea, Rep.",2018,3.16050005,3.984999895,4.773102367,4.239181519,4.889853166,4.453999996,4.787314492,64.49008593,3.984999895,4.938000202,3.173482718,4.844833374,112.765778,124.864507644353,3.479000092,5.402786739,36.73649265,3.200000048,,,,,,,,,,,
6,Mexico,2018,3.152481079,3.589537144,4.556805912,3.626324892,4.125878314,4.043954372,4.907666515,35.62395537,3.589537144,4.97330761,3.131882651,5.523331165,63.6137953,88.51342698988221,3.480605602,5.331115951,33.10479781,4.887000084,,,,,,,,,,,
4,Philippines,2018,3.282922983,3.981236458,4.976399638,4.411103249,5.208392277,4.9122715,4.5892602,50.33663555,3.981236458,5.144842625,3.172347684,5.825264931,68.60890529,110.395625768635,3.254873276,5.453521717,24.3339467,3.503999949,,,,,,,,,,,
3,Romania,2018,2.353401184,3.286372185,4.80853971,2.839842558,4.539518641,3.865357399,4.512467013,44.48644576,3.286372185,4.914539337,2.687623778,4.882082462,82.87893892,114.587374168581,3.478164673,5.337696762,22.87087737,6.794000149,,,,,,,,,,,
4,South Africa,2018,2.721518993,3.671052694,4.393556983,3.376623392,3.417316958,4.227848053,4.339554365,29.15348632,3.671052694,4.240506172,2.812270037,4.620253086,70.52406823,96.3529020117897,3.525000095,5.179977555,21.51421382,24.73200035,,,,,,,,,,,
3,Turkey,2018,2.685954809,3.091697693,4.192077944,3.852097511,4.601649079,3.491420031,4.426665521,43.19399681,3.091697693,3.740022659,3.079464367,2.797732353,41.65641611,133.490837223131,3.269587755,5.23926488,43.63726466,8.149000168,,,,,,,,,,,
3,Ukraine,2018,5.603142738,5.781676292,4.992109949,5.773799896,4.757338128,5.808965683,4.939788702,52.4664418,5.781676292,5.867277622,4.193577475,5.793391705,132.9102859,122.012468472834,5.702398777,6.233006222,32.85523892,7.53000021,,,,,,,,,,,
248,United States,2018,4.980399609,3.737532854,4.268753541,3.495504379,4.306997878,4.249037266,3.938281399,30.68812537,3.737532854,4.874646664,3.504853271,5.159748077,69.96831964,161.993797784924,7,5.930564447,14.02624688,8.069000244,,,,,,,,,,,
