Countries_fintechs,CB_Ranking,Country,Year,oneA,oneB,oneC,twoA,twoB,twoC,twoD,twoE,threeA,threeB,threeC,threeD,fourA,fourB,fiveA,fiveB,sixA
4,229,Argentina,2018,2.44756031,2.805119514,4.061309035,3.430802107,4.195682945,3.930330992,4.613002296,57.31051129,2.805119514,4.085398197,3.137428301,4.657785416,78.05015028,139.8146002,3.377249956,5.170745958,7.217000008
32,300,Brazil,2018,2.459301233,3.302392721,4.566282764,3.238513947,4.296651368,4.089988708,4.598993571,49.32092896,3.302392721,4.691751003,2.703920625,5.729115009,90.23684642,112.9965568,3.782591581,5.196035692,7.19299984
1,424,Chile,2018,3.504281521,4.101409435,3.883188925,3.885442019,3.263581607,3.997062206,4.922817731,59.53757393,4.101409435,5.646328449,3.370470834,6.333855152,88.24767543,127.4632858,3.518594265,5.021656208,6.65899992
7,175,Colombia,2018,2.886228561,3.680098295,3.975810731,3.878222704,4.121078278,3.735612392,5.138438224,62.33083988,3.680098295,4.784922123,3.613747901,5.579167843,48.79995492,126.8138818,3.503555298,5.061698494,9.739999771
6,176,Mexico,2018,3.152481079,3.589537144,4.556805912,3.626324892,4.125878314,4.043954372,4.907666515,35.62395537,3.589537144,4.97330761,3.131882651,5.523331165,63.6137953,88.51342699,3.480605602,5.331115951,4.887000084
1,316,Bolivia,2018,2.150269985,3.869697094,4.496597935,3.345480442,8.6,5.479362038,5.810133634,39.6975146,3.869697094,3.641764636,2.110430756,5.172403812,42.75005136,124.4824562,5.514688293,5.670127314,3.257999897
2,153,Ecuador,2018,2.353610039,3.398379087,4.410720334,3.717029095,8.68422,5.231868091,5.6683626,54.06292473,3.398379087,3.817945633,2.485291427,5.254245758,56.90387592,141.149951,4.82028461,5.415653954,3.910000086
0,500,Guyana,2018,2.549379796,4.268880445,4.039975899,3.341147559,3.46311452,4.485050442,4.283969198,33.62109834,4.188910951,3.974246621,2.626888197,5.187759864,24.07424296,93.4345792,3.726483198,4.3528165,12.15100002
0,1000,Paraguay,2018,2.890069008,3.699940205,4.750955498,3.292025566,9.11177,5.45040398,6.095396465,45.46174069,3.699940205,4.013752463,2.895138046,5.44839716,59.58467343,120.8800834,5.224120819,5.775361801,4.711999893
2,320,Peru,2018,2.727604628,3.734702826,4.624081557,3.080753803,8.42123,5.24283012,5.71957075,53.4,3.734702826,3.975202515,2.887100421,5.266777515,59.40991264,131.9697363,5.57698785,6.006790301,2.844000101
