Date,Quarter,B2B,B2C,Mean CB rank,CB rank percentile,Mean CB rank_B2B,Mean CB rank_B2C,Sum of both,First Half,Second half,Difference,Decile_sum_of both,Decile_B2B,Decile_B2C
2000-03-31,2000 Q1,3,6,"390,421",0.333,158,239,9,1,0,-3,0.25,0.25,0.25
2000-06-30,2000 Q2,1,1,567675,0.25,567,567,2,1,0,0,0.2,0.2,0.2
2000-09-30,2000 Q3,0,0,316495.9863,0.833,312,289,0,1,0,0,0.167,0.167,0.167
2000-12-31,2000 Q4,0,0,316495.9863,0,312,289,0,1,0,0,0.143,0.143,0.143
2001-03-31,2001 Q1,1,2,"552,223",0.286,440,422,3,1,0,-1,0.5,0.375,0.5
2001-06-30,2001 Q2,1,1,490118,0.375,490,490,2,1,0,0,0.333,0.333,0.333
2001-09-30,2001 Q3,0,0,316495.9863,0.889,312,289,0,1,0,0,0.1,0.1,0.1
2001-12-31,2001 Q4,0,0,316495.9863,0.9,312,289,0,1,0,0,0.091,0.091,0.091
2002-03-31,2002 Q1,1,1,110763,0.909,110,110,2,1,0,0,0.417,0.417,0.417
2002-06-30,2002 Q2,0,0,316495.9863,0.833,312,289,0,1,0,0,0.077,0.077,0.077
2002-09-30,2002 Q3,0,0,316495.9863,0.846,312,289,0,1,0,0,0.071,0.071,0.071
2002-12-31,2002 Q4,0,0,316495.9863,0.857,312,289,0,1,0,0,0.067,0.067,0.067
2003-03-31,2003 Q1,2,2,"456,900",0.267,69,266,4,1,0,0,0.75,0.75,0.688
2003-06-30,2003 Q2,0,0,316495.9863,0.875,312,289,0,1,0,0,0.059,0.059,0.059
2003-09-30,2003 Q3,1,0,"70,242",0.941,312,411,1,1,0,1,0.5,0.5,0.056
2003-12-31,2003 Q4,0,1,"330,288",0.333,584,289,1,1,0,-1,0.474,0.053,0.526
2004-03-31,2004 Q1,3,4,"341,474",0.316,266,294,7,1,0,-1,0.8,0.8,0.8
2004-06-30,2004 Q2,0,4,"333,780",0.35,601,591,4,1,0,-4,0.714,0.048,0.762
2004-09-30,2004 Q3,0,0,316495.9863,0.857,312,289,0,1,0,0,0.045,0.045,0.045
2004-12-31,2004 Q4,0,0,316495.9863,0.864,312,289,0,1,0,0,0.043,0.043,0.043
2005-03-31,2005 Q1,12,2,"450,588",0.217,236,294,14,1,0,10,0.875,0.917,0.667
2005-06-30,2005 Q2,0,1,"530,450",0.125,312,642,1,1,0,-1,0.44,0.04,0.48
2005-09-30,2005 Q3,1,1,"251,197",0.88,167,167,2,1,0,0,0.538,0.538,0.462
2005-12-31,2005 Q4,0,1,"112,180",0.885,312,174,1,1,0,-1,0.407,0.037,0.444
2006-03-31,2006 Q1,1,1,"76,907",0.926,523,523,2,1,0,0,0.536,0.536,0.429
2006-06-30,2006 Q2,1,0,"41,633",0.964,501,289,1,1,0,1,0.379,0.517,0.034
2006-09-30,2006 Q3,0,0,316495.9863,0.759,312,289,0,1,0,0,0.033,0.033,0.033
2006-12-31,2006 Q4,0,5,"526,400",0.133,323,264,5,1,0,-5,0.806,0.032,0.871
2007-03-31,2007 Q1,1,3,"484,907",0.194,486,379,4,1,0,-2,0.719,0.531,0.781
2007-06-30,2007 Q2,4,0,"520,356",0.156,311,522,4,1,0,4,0.697,0.879,0.03
2007-09-30,2007 Q3,2,0,"372,938",0.333,312,370,2,1,0,2,0.5,0.765,0.029
2007-12-31,2007 Q4,2,1,"239,738",0.824,450,366,3,1,0,1,0.657,0.743,0.457
2008-03-31,2008 Q1,6,5,"381,578",0.314,233,373,11,1,0,1,0.889,0.889,0.861
2008-06-30,2008 Q2,0,4,"450,492",0.278,178,325,4,1,0,-4,0.676,0.027,0.784
2008-09-30,2008 Q3,0,0,316495.9863,0.784,312,289,0,1,0,0,0.026,0.026,0.026
2008-12-31,2008 Q4,1,1,"511,223",0.158,475,475,2,1,0,0,0.462,0.487,0.436
2009-03-31,2009 Q1,7,4,"337,683",0.41,345,356,11,1,0,3,0.875,0.9,0.775
2009-06-30,2009 Q2,2,0,"191,819",0.85,308,491,2,1,0,2,0.439,0.707,0.024
